SVET,18000
SYOT,10800
TAHT,-36000
TASST,21600
TASST,25200
TAST,18000
TAST,21600
TBMT,10751
TFT,18000
TJT,18000
TKT,-39600
TKT,46800
TLT,28800
TLT,32400
TMT,12344
TMT,14400
TMT,18000
TMT,5940
TOST,50400
TOT,44400
TOT,46800
TRST,14400
TRT,10800
TSAT,10800
TVT,43200
ULAST,32400
ULAT,25200
ULAT,28800
URAST,18000
URAST,21600
URAT,10800
URAT,14400
URAT,18000
URAT,21600
URUT,21600
UYST,-10800
UYST,-5400
UYST,-7200
UYST,-9000
UYT,-10800
UYT,-12600
UYT,-14400
UZT,18000
VET,-14400
VET,-16200
VLAST,36000
VLAST,39600
VLAT,32400
VLAT,36000
VLAT,39600
VOLST,18000
VOLT,14400
VOST,0
VOST,18000
VOST,25200
VUST,43200
VUT,39600
WAKT,43200
WAST,7200
WAT,-3600
WAT,1800
WAT,3600
WEMT,7200
WEST,3600
WET,0
WFT,43200
WGST,-3600
WGST,-7200
WGT,-10800
WGT,-7200
WIB,25200
WIB,27000
WIB,28800
WIT,32400
WITA,28800
WMT,5040
WST,-36000
WST,-39600
WST,46800
WST,50400
YAKST,32400
YAKST,36000
YAKT,28800
YAKT,32400
YAKT,36000
YDDT,-25200
YDT,-28800
YEKST,21600
YEKT,18000
YEKT,21600
YPT,-28800
YST,-32400
YWT,-28800
